SUPPLIER_NAME,ORG_ID,FY_START_DATE,FY_END_DATE,AWU_MISSING_DATA_FLAGS,AWU_VOLUME_UNIT_FLAG,PWSID_INCOMPLETE_DATA_FLAG,AWU_POTABLE_SF_RES_GAL,AWU_POTABLE_MF_RES_GAL,AWU_POTABLE_TOTAL_RES_GAL,AWU_RECYCL_RES_GAL,AWU_NONPOTABLE_NON_RECYCL_RES_GAL,AWU_NONPOTABLE_RES_IRR_GAL,AWU_NONPOTABLE_TOTAL_RES_GAL,AWU_RES_LAM_EXCLUDED_IRR_GAL,AWU_TOTAL_RES_GAL,AWU_TOTAL_RES_RGPCD,AWU_POTABLE_CII_DIMS_GAL,AWU_NONPOTABLE_CII_DIMS_GAL,AWU_TOTAL_CII_DIMS_GAL,AWU_RWL_TOTAL_GAL,AWU_TOTAL_OBJ_RELEVANT_DEMANDS_GAL,AWU_POTABLE_CI_GAL,AWU_POTABLE_I_GAL,AWU_POTABLE_O_GAL,AWU_NONPOTABLE_NONRES_GAL,AWU_TOTAL_EXCL_DEMANDS_GAL,AWU_POTABLE_COMM_AG_GAL,AWU_NONPOTABLE_COMM_AG_GAL,AWU_SF_RES_90PCTILE_GAL,AWU_MF_RES_90PCTILE_GAL,AWU_COST_OF_SERVICE_HIGHEST_USERS,AWU_COST_OF_SERVICE_ANALYSIS_LINK,AWU_RES_LAM_EXCLUDED_IRR_YN,AWU_RES_LAM_ASSOC_DIM_YN,AWU_RES_LAM_ASSOC_DIM_IRR_GAL,AWU_RES_LAM_SUPPLIER_CII_YN,AWU_RES_LAM_SUPPLIER_CII_GAL,AWU_COMMENTS
California Water Service Company Visalia,427,2023-07-01,2024-06-30,,,,5903168576.175998,456150888.82,6359319464.995997,0.0,0.0,0.0,0.0,0.0,6359319464.995997,117.58333482786152,0.0,0.0,0.0,40030551.212754376,6399350016.208752,2564649154.7240014,132859271.564,36415171.36000001,0.0,2733923597.6480017,0.0,,1615583782.640625,209049305.5,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
California Water Service Company Westlake,428,2023-07-01,2024-06-30,,,,1088710392.488,52638175.084,1141348567.572,0.0,0.0,0.0,0.0,0.0,1141348567.572,160.08715388878252,0.0,0.0,0.0,59106177.26711022,1200454744.83911,455871117.372,0.0,153350.66,19385688286.488,19841712754.52,0.0,,449310996.28125,29682624.8125,,,Yes,No,,No,,We are in the process of assessing our volume of water that was delivered to residential landscapes not captured in the Department's LAM analysis.
Camarillo  City Of,443,2023-07-01,2024-06-30,,,,1057350651.39,234547549.8,1291898201.19,0.0,0.0,0.0,0.0,,1291898201.19,75.59044777353378,387153348.63,0.0,387153348.63,98323909.995,1777375459.815,269680804.62,12890665.56,8837079.12,130673517.106,422082066.406,46349046.24,,278265724.0,113585296.0,,,No,No,,No,,"Camarillo is in the process of reviewing, reconciling, and revising landscape area for residential, CII, and SLAs. Landscape values will likely be udpated in the future once CII LAM/LUCD data is provided by the State."
Cambria Community Service District,445,2023-07-01,2024-06-30,,,,83095559.89199999,5762128.700999999,88857688.593,0.0,0.0,0.0,0.0,0.0,88857688.593,44.00681890321813,0.0,0.0,0.0,19322964.3,108180652.893,50104109.54800001,0.0,572241.1680000001,0.0,50676350.716000006,0.0,,0.0,0.0,,,No,No,0.0,No,0.0,
Camrosa Water District,467,2023-07-01,2024-06-30,,,,1266286628.5240002,45411282.876,1311697911.4,0.0,0.0,139931349.57165813,139931349.57165813,,1451629260.9716582,121.62282778029059,175499608.904,390966981.928,566466590.832,86772166.19399999,2104868017.9976585,89001085.734,149130125.60729998,4258116.387,1658586762.4628,1016616476.1911,132233124.7001,884359614.0,527014844.0,0.0,,,No,No,,No,,
Carlsbad Municipal Water District,478,2023-07-01,2024-06-30,,,,2170451150.37,562236349.44,2732687499.81,0.0,0.0,0.0,0.0,,2732687499.81,78.67772618143091,409408971.93,1006192044.39,1415601016.3200002,128456329.518,4276744845.648,896914653.0300001,10873647.87,61725954.93,0.0,969514255.83,47880545.94,,595641641.364,268992766.732,,,No,No,,No,,
Carmichael Water District,481,2023-07-01,2024-06-30,,,,1680654005.224,406124784.904,2086778790.128,0.0,0.0,0.0,0.0,,2086778790.128,138.79062376457765,210426897.7,0.0,210426897.7,117251000.0,2414456687.828,260251121.62,2885000.0,40000.0,0.0,263176121.62,0.0,,528528801.88,287309761.44,,,No,Yes,19459928.94,No,,"Carmichael Water District has used its best efforts to comply with what it understands are the State Water Board’s January 1, 2025, reporting requirements. Carmichael Water District reserves the right to submit an updated report to correct any unforeseen or unknown errors to ensure that its report complies with all January 1, 2025 reporting requirements. Such updates may include, but not limited to, data reported to the SAFER Clearinghouse, data available on the California Open Data Portal, various objective standards data inputs, actual water use and real water loss data, implementation progress descriptions, disclosable buildings, and commercial, industrial, and institutional account classifications, number of service connections, water users and performance measures."
Carpinteria Valley Water District,485,2023-07-01,2024-06-30,,,,238897886.72,126357951.632,365255838.352,0.0,0.0,0.0,0.0,1245420.0,364010418.352,62.346137622076746,23455170.46,0.0,23455170.46,16179805.554,403645394.366,117253410.74,18445466.216,2334939.59072,0.0,138033816.54672,535718187.852,,39414109.0,30937933.0,,,Yes,Yes,8375356.0,No,0.0,Cell B27: Data based on CVWD's account class designations not DWR's parcel designations.  Cell B28: Data based on CVWD's account class designations not DWR's parcel designations.
Casitas Municipal Water District,495,2023-07-01,2024-06-30,,,,577163583.75,91251314.03999998,668414897.79,0.0,0.0,0.0,0.0,,668414897.79,102.84587737702697,24451402.8486,0.0,24451402.8486,141003234.55689514,833869535.1954951,282639898.89000005,6275890.26,12085813.59,0.0,301001602.74,870781402.8300002,0.0,233879392.32,46899734.43,0.0,0,No,No,,No,,
Ceres  City Of,522,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1168253470.0,217352327.0,1385605797.0,0.0,0.0,0.0,0.0,,1385605797.0,69.63807285883045,161624539.0,0.0,161624539.0,0.0,1547230336.0,257349041.0,2419100.0,16782000.0,0.0,276550141.0,0.0,,,,,,,,,,,
Cerritos  City Of,524,2023-07-01,2024-06-30,,,,1207535377.29,134286455.61,1341821832.9,34699872.989999995,0.0,0.0,34699872.989999995,,1376521705.89,79.43743749139779,349944422.94,259801002.3,609745425.24,45440891.33225598,2031708022.462256,166223112.11999995,0.0,0.0,413834028.51,580057140.63,0.0,0.0,0.0,0.0,0.0,,No,No,,No,,
Chino  City Of,545,2023-07-01,2024-06-30,,,,2172135013.0720005,436495833.33,2608630846.4020004,0.0,0.0,0.0,0.0,0.0,2608630846.4020004,82.68564615906641,659376621.446,566362500.966,1225739122.412,517201639.3527307,4351571608.166731,695561921.916,154927712.194,12727445.746,727663682.1879998,1590880762.044,4728866.46,,217213501.0,43649583.0,,,No,No,0.0,No,0.0,The City of Chino is working on checking all data provided through SAFER as well as creating a report for calculating the volume of water used by the top 10 percentile of residiential customers. What is reported here is the top 10% of use.
Chino Hills  City Of,547,2023-07-01,2024-06-30,,,,2281740376.636,340370392.468,2622110769.104,0.0,0.0,0.0,0.0,,2622110769.104,93.22672689185907,386789263.224,404657.64,387193920.864,0.0,3009304689.968,375548285.82000005,0.0,0.0,285671746.818,661220032.638,0.0,,5933068.81,2441178.89,,,No,No,,No,,
Chowchilla  City of,2979,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL",,,516015242.0,22241534.0,538256776.0,0.0,0.0,0.0,0.0,0.0,538256776.0,108.62375505525465,31993935.0,0.0,31993935.0,0.0,570250711.0,181921618.0,3582376.0,12193985.0,0.0,197697979.0,0.0,,,,,,No,No,,No,,
Citrus Heights Water District,561,2023-07-01,2024-06-30,,,,2167103651.792,709535550.572,2876639202.364,0.0,0.0,0.0,0.0,0.0,2876639202.364,116.3139894056487,144539355.492,0.0,144539355.492,13711806.73676874,3034890364.5927687,356355515.656,102383633.08399998,6321039.4,0.0,465060188.1399999,0.0,,797578.9911699985,559508.9959600002,,,No,No,0.0,No,0.0,"Citrus Heights Water District has used its best efforts to comply with what it understands are the State Water Board’s January 1, 2025, reporting requirements. Citrus Heights Water District reserves the right to submit an updated report to correct any unforeseen or unknown errors to ensure that its report complies with all January 1, 2025 reporting requirements. Such updates may include, but not limited to, data reported to the SAFER Clearinghouse, data available on the California Open Data Portal, various objective standards data inputs, actual water use and real water loss data, implementation progress descriptions, disclosable buildings, and commercial, industrial, and institutional account classifications, number of service connections, water users and performance measures."
City of Atwater,110,2023-07-01,2024-06-30,,,,687505765.0,140325098.0,827830863.0,0.0,0.0,0.0,0.0,,827830863.0,76.93713360846147,70748105.0,0.0,70748105.0,567768188.181818,1466347156.181818,277052730.0,0.0,0.0,0.0,277052730.0,0.0,,0.0,0.0,,,No,No,,No,,The City has not yet reviewed its residential landscape measurement (LAM). The City has not yet received its CII LAM. The City reported 602.3 MG of Billed Unmetered Water Use in their 2023 FY Water Loss Audit. This water use data was not reported in the SAFER Clearinghouse. The City may modify reported Clearinghouse data to incorporate unmetered water use in the future.
Cloverdale  City of,572,2023-07-01,2024-06-30,,,,178225212.0,26550260.0,204775472.0,0.0,0.0,0.0,0.0,,204775472.0,63.257265803468144,21249932.0,0.0,21249932.0,31946000.0,257971404.0,51145996.0,5892744.0,4150652.0,0.0,61189392.0,0.0,,45066000.0,12403449.0,,,No,No,,No,,"Data Sources: Total volume of deliveries to single family residential customers at or above the 90th percentile: ""SFR Usage 23 24.xlsx"" received from City staff on December 3, 2024. Total volume of deliveries to multi family residential customers at or above the 90th percentile: ""FY 23 24 Top MFR Users.xlsx"" received from City staff on December 3, 2024."
Clovis  City Of,574,2023-07-01,2024-06-30,,,,5314150000.0,816338000.0,6130488000.0,0.0,0.0,0.0,0.0,,6130488000.0,130.7976538944995,694282000.0,232095000.0,926377000.0,42419591.108676285,7099284591.108676,588562000.0,94201000.0,32795000.0,10058000.0,725616000.0,0.0,,1486844000.0,365626000.0,,,No,Yes,148039000.0,No,,
Coachella Valley Water District,577,2023-07-01,2024-06-30,,,,14765824505.926498,2086555401.2934003,16852379907.219898,0.0,0.0,0.0,0.0,0.0,16852379907.219898,168.13876130880183,6549689778.899368,0.0,6549689778.899368,2058785096.5873208,25460854782.70659,2503783591.574701,0.0,0.0,0.0,2503783591.574701,0.0,,15950622776.0,2086558716.0,,,Yes,No,0.0,Yes,0.0,
Coastside County Water District,583,2023-07-01,2024-06-30,,,,269778759.17,27580459.924,297359219.09400004,0.0,0.0,0.0,0.0,0.0,297359219.09400004,43.24448176858412,14386374.28,38426846.92,52813221.2,52738000.0,402910440.294,118619742.01,0.0,0.0,0.0,118619742.01,0.0,0.0,67257916.0,17787440.0,,,No,No,0.0,No,0.0,
Colton  City Of,596,2023-07-01,2024-06-30,,,,1432180315.2,0.0,1432180315.2,0.0,0.0,0.0,0.0,,1432180315.2,84.33705933324991,0.0,0.0,0.0,119514652.227,1551694967.427,1235887672.8,0.0,111603967.5,0.0,1347491640.3,0.0,0.0,0.0,0.0,,,No,No,,No,,
Contra Costa Water District,613,2023-07-01,2024-06-30,,,,4622338980.736,1992494850.0560005,6614833830.792001,0.0,0.0,0.0,0.0,0.0,6614833830.792001,91.52945663196348,478546069.596,0.0,478546069.596,301393430.8032555,7394773331.191256,1185803053.776,10865455.3,19844323.456,0.0,1216512832.532,0.0,,1225916308.799998,1215302227.35,,,Yes,Yes,342961645.0,No,,"For the 90th percentile actual water use, these values are for the July 2023 to June 2024 period. We did not include accounts with zero use over the calendar year, as some of these accounts are vacant homes or empty lots without structures. These metered values are also approximate values that may be subject to correction. We have residential landscape areas, such as park strip areas and residential extensions, that were not captured by the Department's LAM analysis. It's our understanding that these areas will be included in the Department's upcoming CII LAM LUCD data. We will use the CII LAM LUCD data to help us determine the volume of water delivered to residential landscapes that the Department excluded from its LAM analysis."
Corcoran  City Of,618,2023-07-01,2024-06-30,,,,684756000.0,188855000.0,873611000.0,0.0,0.0,0.0,0.0,,873611000.0,109.61551612184785,0.0,0.0,0.0,60563779.28571434,934174779.2857144,832967000.0,0.0,0.0,0.0,832967000.0,0.0,,0.0,0.0,,,No,No,,No,,The City has not yet reviewed its residential landscape measurement (LAM). The City has not yet received its CII LAM. The City reported 440.89 MG of Unmetered Water Use in FY 23 24. This water use data was not reported in the SAFER Clearinghouse. The City may modify reported Clearinghouse data to incorporate unmetered water use in the future. The City is transitioning to a fully metered water system.
Corona  City Of,624,2023-07-01,2024-06-30,,,,5382351423.33,858223105.2900001,6240574528.62,21285088.0,0.0,0.0,21285088.0,,6261859616.62,101.76941878428975,841702459.5899999,0.0,841702459.5899999,155533244.21400002,7259095320.424,890443252.1700001,262437136.89,252795205.80000004,1088254728.0,2493930322.86,0.0,,0.0,0.0,,,No,No,,No,,"Data for actual residential water use, 90th percentile will be calculated with the California Data Collaborative (CaDC) data which is due in 2025. Corona will use the CaDC data in time for next reporting deadline."
Covina  City Of,644,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,1098997667.7,147265100.94,1246262768.64,0.0,0.0,0.0,0.0,,1246262768.64,102.53509141799336,3838524.78,0.0,3838524.78,105008417.409,1355109710.829,153726726.26999998,43302339.39,0.0,0.0,197029065.66,0.0,,,,,,,,,,,
Crescent City,649,2023-07-01,2024-06-30,,,,180251986.33568,0.0,180251986.33568,0.0,0.0,0.0,0.0,0.0,180251986.33568,29.551855571415107,0.0,0.0,0.0,118717535.9200055,298969522.2556855,284719029.517608,951926.09208,0.0,0.0,285670955.609688,0.0,,0.0,0.0,,,No,No,0.0,No,0.0,
Crescenta Valley Community Water District,651,2023-07-01,2024-06-30,,,,623466546.24,245348758.41,868815304.65,0.0,0.0,0.0,0.0,,868815304.65,66.41321121482896,49594135.76,0.0,49594135.76,106819149.79568309,1025228590.205683,95507987.74,0.0,2249.92,0.0,95510237.66,0.0,,0.0,0.0,,,No,No,,No,,CVWD has not yet reviewed its residential landscape measurement (LAM). CVWD has not yet received its CII LAM.
Crestline Village Water District,654,2023-07-01,2024-06-30,,,,154043356.152,5201205.556,159244561.708,0.0,0.0,0.0,0.0,,159244561.708,37.44948244059027,0.0,0.0,0.0,17726087.049160004,176970648.75716,25375793.97,0.0,0.0,0.0,25375793.97,0.0,0.0,567732.0,380732.0,0.0,,No,No,,No,,
Cucamonga Valley Water District,664,2023-07-01,2024-06-30,,,,6959765038.82,1476013618.57,8435778657.389999,0.0,0.0,0.0,0.0,,8435778657.389999,113.35832662527196,2377903546.62,0.0,2377903546.62,508889652.975,11322571856.985,899925360.72,652794046.5699999,28227327.17,330363656.65,1911310391.11,9381406.37,,1823610771.0,28756613.0,,,No,No,,No,,"Total volume delivered to SF and MF customers, 90th percentile: From FY2024 consumption report. For single family, meters. For multi family, per parcel or entire unit. Landscapes that DWR Mis classified: Not correcting DWR LAM at this time. Report none."
Daly City,673,2023-07-01,2024-06-30,,,,1019257504.548,509846809.432,1529104313.98,0.0,0.0,0.0,0.0,,1529104313.98,38.576109242409586,0.0,0.0,0.0,47306861.16813034,1576411175.1481304,299703293.54,0.0,0.0,31195000.0,330898293.54,0.0,0.0,564464330.0,69327215.0,0.0,0,No,No,,No,,"(1) The City has not performed a Cost of Service Analysis for its top 10% of water users, but did hire a consultant to evaluate the 90th percentile SFR and MFR customer water users and their associated total volume of deliveries. (2) The City has not performed a detailed analysis of residential LAM so it unkown if there are landscapes not captured, if there are any landscapes with DIMs that DWR included in the LAM, or if there are any CII landscapes that were misclassified."
Davis  City Of,678,2023-07-01,2024-06-30,,,,1479040000.0,729690000.0,2208730000.0,0.0,0.0,0.0,0.0,,2208730000.0,90.02655680100497,369710000.0,0.0,369710000.0,153415000.0,2731855000.0,272040000.0,0.0,3283420.0,0.0,275323420.0,0.0,,409185920.0,375698708.0,,,No,Yes,65441024.0,No,0.0,Residential landscapes are 69 multi family residential properties that have DIMs.
Del Oro Water Company,699,2023-07-01,2024-06-30,,,,176479111.0,2246401.0,178725512.0,0.0,0.0,0.0,0.0,,178725512.0,44.92283825562399,905737.0,0.0,905737.0,42221000.0,221852249.0,15301050.0,0.0,21230712.0,0.0,36531762.0,0.0,0.0,53108246.84,1008678.0,,,No,No,,No,,
Desert Water Agency,727,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL",,,6849127240.863999,0.0,6849127240.863999,0.0,0.0,0.0,0.0,0.0,6849127240.863999,322.7952275295996,204535222.144,908691904.744,1113227126.888,676340793.9001985,8638695161.652197,1950577454.776,0.0,60045468.42,171027342.702812,2181650265.8988123,0.0,,,,,,Yes,Yes,0.0,Yes,0.0,"DWA acknowledges misclassifications with the residential LAM identification, but due to limited resources and data, is seeking the residential parkway and CIIDIM LUCD before doing a full analysis."
Diablo Water District,731,2023-07-01,2024-06-30,,,,1380398308.848,68641999.572,1449040308.42,0.0,0.0,0.0,0.0,,1449040308.42,91.56476342288505,186693581.796,0.0,186693581.796,25700000.0,1661433890.216,96844308.024,0.0,22280811.10572,0.0,119125119.12972,0.0,0.0,0.0,0.0,,,No,No,,No,,
Dinuba  City Of,737,2023-07-01,2024-06-30,,,,970580000.0,0.0,970580000.0,0.0,0.0,0.0,0.0,,970580000.0,98.65046513341616,86590000.0,0.0,86590000.0,168126000.0,1225296000.0,225360000.0,92930000.0,350000.0,0.0,318640000.0,0.0,,313735136.0,0.0,,,No,No,,No,,
Downey  City Of,748,2023-07-01,2024-06-30,,,,2270223468.0600004,869605080.72,3139828548.7800007,0.0,0.0,0.0,0.0,0.0,3139828548.7800007,78.24940415756305,47483007.72,194956653.3,242439661.02,144726721.65,3526994931.450001,844618826.0400001,130359951.06,2499277.1700000004,2649168.6300000004,980127222.9,0.0,,22702202.1,8696050.807,,,Yes,Yes,0.0,No,,
Dublin San Ramon Services District,759,2023-07-01,2024-06-30,,,,1639032629.0,614283670.0,2253316299.0,0.0,0.0,0.0,0.0,0.0,2253316299.0,62.49968932057146,321505101.0,745328217.0,1066833318.0,159700000.0,3479849617.0,370371984.0,0.0,32561936.0,5622609.356000001,408556529.356,0.0,,353890125.0,440864838.3,,,Yes,No,,Yes,389546137.0,"DSRSD staff are not able to identify a reliable and efficient method for determining the volume of water delivered to residential landscapes not captured in the Department's LAM analysis. Therefore, cell B36 is 0."
East Bay Municipal Utility District,775,2023-07-01,2024-06-30,,,,22650622398.1,9946426878.91,32597049277.01,3248471.0,0.0,2086172.0,5334643.0,,32602383920.01,61.90851107627482,3597568375.35,177163871.0,3774732246.35,4576767000.0,40953883166.36,6685245621.22,6481269933.290001,129381142.35,2002345607.0,15298242303.860004,0.0,,2264891951.0,994411899.0,,,No,No,,No,,
East Palo Alto  City Of,787,2023-07-01,2024-06-30,,,,406507913.94400007,0.0,406507913.94400007,0.0,0.0,0.0,0.0,,406507913.94400007,37.72893093178437,25592355.024,0.0,25592355.024,41210210.01136303,473310478.9793631,80447008.184,1574649.4599999995,15650743.944000002,0.0,97672401.588,0.0,0.0,0.0,216908929.0,0.0,,No,No,,No,,"(1) The City has not performed a Cost of Service Analysis for its top 10% of water users, but did hire a consultant to evaluate the 90th percentile SFR and MFR customer water users and  associated total volume. (2) The City has not performed a detailed analysis of residential LAM so it is unknown if there are landscapes not captures, if there are landscapes with DIMs that DWR included in the LAM, or if there are any CII landscapes that were misclassified. (3) Entered ""0"" for single family residential water use (Row 28) since single family is combined with multi family residential water use in the City's billing system."
East Valley Water District,793,2023-07-01,2024-06-30,,,,2943077440.744,920735315.8880002,3863812756.632,0.0,0.0,0.0,0.0,,3863812756.632,97.47503107121774,449043646.768,0.0,449043646.768,76607570.1,4389463973.5,603362286.056,0.0,119624735.57999998,0.0,722987021.6359999,39396906.63200001,,932435856.0,505835748.0,,,No,No,0.0,No,0.0,
Eastern Municipal Water District,794,2023-07-01,2024-06-30,AWU_RES_LAM_EXCLUDED_IRR_YN,,,15511256615.442783,1974013994.680755,17485270610.12354,0.0,0.0,0.0,0.0,,17485270610.12354,73.58000514030982,2271158986.281,0.0,2271158986.281,1873533764.064,21629963360.468536,2052591821.223,179554654.08300003,1290695.8109999998,8975158481.25,11208595652.367,109913126.661,,3664341193.12015,1634560929.2624483,12.95,https://www.emwd.org/how-can-we-help/rates-and-fees/water-budgets-and-tiered-rates,,No,,No,,"Values in cells 27B and 28B include accounts with less than 12 bills. Value in cell 31B is per unit of water, for every unit billed in the highest tier (Tier 4   Wasteful).  For cells 35B and 36B, a list of parcels was sent to DWR as part of the intial LAM analysis. Some of them were added to the residential LAM calculation. We did not keep an updated list of the remaining excluded parcels, and therefore do not have any way of gathering the water use data specifically associated with those parcels."
El Dorado Irrigation District,816,2023-07-01,2024-06-30,,,,4531815876.683438,435200944.5080001,4967016821.191439,514712139.6399999,0.0,0.0,514712139.6399999,,5481728960.831439,112.83064256402588,472611025.028,0.0,472611025.028,799417358.926743,6753757344.786182,589949683.7739202,0.0,257811087.41004,479130298.208,1326891069.39196,1659144177.5560005,,1501389271.63976,260676672.648,,,No,No,,No,,"(Row 37 and 39) ""No"" entries aim to report that we are currently investigating the nature and scope of identifying these misclassifications provided by the State.  It is expected that future UWUO reports will include volumes of deliveries associated with these misclassifications.  The District has used its best efforts to comply with what it understands are the State Water Boards January 1, 2025 reporting requirements.  The District reserves the right to submit an updated report to correct any unforeseen or unknown errors to ensure that its report complies with all January 1, 2025 reporting requirments.  Such updates may include, but not limited to, data reported to the SAFER Clearinghouse, data available on the California Open Data Portal, various objective standards data inputs, actual water use and real water loss data, implementation progress descriptions, disclosable buildings, and commerical, industrisal, and institutional account classifications, number of service connection, water users and performance measures."
El Monte  City Of,821,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,CA1910038,213837100.0,94529600.0,308366700.0,0.0,0.0,0.0,0.0,,308366700.0,36.78336267731639,16649100.0,0.0,16649100.0,0.0,325015800.0,193215000.0,1945000.0,0.0,0.0,195160000.0,0.0,,,,,,,,,,,
El Segundo  City Of,827,2023-07-01,2024-06-30,"AWU_SF_RES_90PCTILE_GAL, AWU_MF_RES_90PCTILE_GAL, AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",High volume (R-GPCD check),,43775707114.088,39472960859.444,83248667973.532,0.0,0.0,0.0,0.0,,83248667973.532,13497.369061027242,7591359903.916,459717107.82,8051077011.736,78304477.344439,91378049462.61244,115660380764.4,209803197485.292,654386161.54,118354514492.21172,444472478903.4437,0.0,,,,,,,,,,,
El Toro Water District,830,2023-07-01,2024-06-30,,,,547157399.036,778666776.1520001,1325824175.1880002,0.0,0.0,0.0,0.0,,1325824175.1880002,70.12345560839901,280770097.42,0.0,280770097.42,87792711.69464454,1694386984.3026447,262423374.068,0.0,11541694.308,382781405.763,656746474.139,0.0,,113693008.0,402987992.0,,,No,No,,No,,
Elk Grove Water District,835,2023-07-01,2024-06-30,,,,1538063780.0,0.0,1538063780.0,0.0,0.0,0.0,0.0,,1538063780.0,96.75721269001892,0.0,0.0,0.0,60438000.0,1598501780.0,446096728.0,0.0,0.0,0.0,446096728.0,0.0,0.0,33719682.4,0.0,,,No,No,,No,,
Elsinore Valley Municipal Water District,842,2023-07-01,2024-06-30,,,,4600872745.559999,316785825.18,4917658570.74,2554671.84,0.0,0.0,2554671.84,52509510.0,4867703732.58,80.53926424823487,843465965.202,0.0,843465965.202,341654773.5,6052824471.282,458486694.44400007,0.0,95776732.728,2535299998.05,3089563425.222,0.0,,1091119120.0,36962745.0,,,Yes,Yes,2556094.0,Yes,54187391.0,
Escondido  City Of,851,2023-07-01,2024-06-30,,,,2222629671.0,1241818161.0,3464447832.0,29326590.0,0.0,0.0,29326590.0,,3493774422.0,69.39187564109452,459775761.0,63215094.0,522990855.0,165969000.0,4182734277.0,708074223.0,0.0,0.0,780684699.0,1488758922.0,833201007.0,,536936391.0,618200682.0,,,No,No,,No,,
Estero Municipal Improvement District,856,2023-07-01,2024-06-30,,,,293641828.184,467508562.3360001,761150390.5200001,0.0,0.0,0.0,0.0,0.0,761150390.5200001,57.04517823807948,309564115.00400007,0.0,309564115.00400007,76104791.81722732,1146819297.3412275,151221704.00800002,15572946.536000002,2277070.2880000006,0.0,169071720.83200002,0.0,,72274540.084,380807839.432,,,No,No,0.0,No,0.0,Some multifamily residentisl accounts serve only a few units while others have one account that serves an entire building. Irrigation meters for some buildings are included in the total.
Eureka  City Of,859,2023-07-01,2024-06-30,,,,446689000.0,117944000.0,564633000.0,0.0,0.0,0.0,0.0,0.0,564633000.0,57.12902452276377,0.0,0.0,0.0,84814974.70871665,649447974.7087166,304419000.0,0.0,0.0,0.0,304419000.0,0.0,,0.0,0.0,,,No,No,0.0,No,,
Exeter  City Of,863,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,346037692.0,37711396.0,383749088.0,0.0,0.0,0.0,0.0,,383749088.0,94.13263178293147,9106134.13712,0.0,9106134.13712,45000000.0,437855222.13712,97055177.55584,0.0,539635.72612,0.0,97594813.28196,0.0,,2837.0,146.0,,,,,,,0.0,
Fair Oaks Water District,866,2023-07-01,2024-06-30,,,,2332337185.6800003,181661932.5,2513999118.1800003,0.0,0.0,0.0,0.0,,2513999118.1800003,190.13053654644474,180032677.5,0.0,180032677.5,124341483.09,2818373278.7700005,151276326.75,0.0,183444337.47,0.0,334720664.22,0.0,0.0,677878740.0,885841440.0,0.0,0,No,No,,No,,"Rows 27 and 28  inputs collected from actual usage for Calendar year 2023 due to limitations of our meter reading system and unable to collect fiscal year use. Fair Oaks Water District has used its best efforts to comply with what it understands are the State Water Board’s January 1, 2025, reporting requirements. Fair Oaks Water District reserves the right to submit an updated report to correct any unforeseen or unknown errors to ensure that its report complies with all January 1, 2025 reporting requirements. Such updates may include, but not limited to, data reported to the SAFER Clearinghouse, data available on the California Open Data Portal, various objective standards data inputs, actual water use and real water loss data, implementation progress descriptions, disclosable buildings, and commercial, industrial, and institutional account classifications, number of service connections, water users and performance measures."
Fairfield  City Of,867,2023-07-01,2024-06-30,"AWU_RES_LAM_EXCLUDED_IRR_YN, AWU_RES_LAM_ASSOC_DIM_YN, AWU_RES_LAM_SUPPLIER_CII_YN",,,2658860000.0,465010000.0,3123870000.0,0.0,0.0,0.0,0.0,0.0,3123870000.0,71.0978670776434,1153470000.0,0.0,1153470000.0,530780000.0,4808120000.0,738220000.0,276150000.0,32450000.0,0.0,1046820000.0,0.0,,715738012.0,259447540.0,,,,,0.0,,0.0,
Fallbrook Public Utility District,873,2023-07-01,2024-06-30,,,,1009877419.2,192382430.40000004,1202259849.6,0.0,0.0,0.0,0.0,0.0,1202259849.6,93.47738461400901,6484434.899999999,0.0,6484434.899999999,118457827.3121835,1327202111.8121834,167357073.6,0.0,0.0,163903052.99999997,331260126.6,476198651.3999999,,0.0,0.0,,,No,No,0.0,No,0.0,
